serial_no,title,authors,journal,abstract,publish_date,doi,url,source
106,A PUF-Based Secure and Lightweight Authentication Protocol for Medical IoT Environments.,Hyeongeun Lim; Yohan Park; Youngho Park,"Sensors (Basel, Switzerland)","The development of sensor and communication technology has enabled the Internet of Things in healthcare. In Medical Internet of Things (MIoT) environments, sensors support real-time patient monitoring, remote diagnosis, and early disease detection. However, communication between users and sensors over public channels is vulnerable to various security attacks, making secure and lightweight authentication with session key establishment essential for protecting medical data. Recently, a lightweight and anonymous authentication protocol for MIoT environments was proposed using Physical Unclonable Functions (PUFs); however, we show that their protocol is vulnerable to eavesdropping, stolen verifier, and ephemeral secret leakage attacks, and fails to guarantee untraceability. To address these weaknesses, we propose a secure and lightweight PUF-based authentication protocol for MIoT environments. The security of our protocol is formally verified using Burrows-Abadi-Needham logic, the Real-or-Random model, and the Scyther tool. Furthermore, the practical validation of the proposed protocol is conducted on a hardware platform along with an evaluation of energy consumption based on the MIRACL cryptographic library. Performance comparisons demonstrate that our protocol achieves enhanced security properties with minimal computational overhead and communication costs. Ultimately, this research provides a secure and robust architectural option for healthcare applications aiming to preserve patient privacy in resource-constrained MIoT.",2026,10.3390/s22218279,https://pubmed.ncbi.nlm.nih.gov/42198031/,pubmed
107,Patient engagement with consumer wearable devices in the electronic health record.,Michael Sobolev; Allistair Clark; Mitchell Kamrava; Joshua Pevnick; Brennan Spiegel; Raymond Duncan; Gillian Gresham,Frontiers in digital health,"Data from wearable devices have the potential to transform personal health, clinical care and biomedical research. The purpose of this study was to quantify early adoption and short-term engagement with consumer-based wearable devices connected to an EHR outside of a study setting. We analyzed device data from 843 patients (mean age 48 years, 41% female) who connected their devices to the electronic health record (EHR) of a large academic medical center in the US between 2023 and 2025. The most popular connected consumer devices were the Apple Watch (56%), followed by the Oura ring (7.7%), and the Fitbit activity tracker (4.6%). Using survival analysis, we found that 692 (82%) patients remained engaged at three months, with actively connected devices. Cox regression models identified statistically significant differences in time to disengagement based on gender and step count. Regular and updated analyses of device adoption and engagement patterns are therefore warranted to increase the value of these devices and their data for the purpose of health monitoring and improvement.",2026,10.1038/s41746-020-0224-8,https://pubmed.ncbi.nlm.nih.gov/42179816/,pubmed
108,IoT-Based Biomedical Monitoring System for Preventive Maternal Healthcare and Early Detection of Obstetric Complications.,Diana Quiñonez; Yanira Benavides; Edgar Dulce-Villarreal; Alvaro Cervelion; Sixto Compaña,Studies in health technology and informatics,"Severe Maternal Morbidity (SMM) is defined as the condition in which a woman survives life-threatening complications during pregnancy, childbirth, or the postpartum period, representing a key indicator of the quality of obstetric care. In Colombia, SMM remains a critical challenge, with recent increases in incidence and risk factors associated with sociodemographic inequalities and limited access to healthcare services. In this context, emerging technologies such as the Internet of Things (IoT) offer opportunities to strengthen maternal health prevention and remote monitoring. This study proposes the design and development of a biomedical IoT device aimed at the early detection of risks associated with SMM. The system, composed of hardware and software modules interconnected through secure communication protocols, was developed using a hybrid incremental-prototyping approach combined with the agile Scrum methodology, enabling progressive validation and continuous adaptability. The results include a functional prototype at Technology Readiness Level (TRL) 5, capable of recording and transmitting key physiological variables through GSM connectivity and secure networks. This development is expected to have a significant impact in vulnerable regions far from medical centers, where the device can serve as an initial diagnostic and early clinical support tool. Overall, the system represents progress toward more preventive, interconnected, and equitable maternal health environments, strengthening the capacity to respond effectively to obstetric emergencies.",2026,10.3233/SHTI260711,https://pubmed.ncbi.nlm.nih.gov/42175378/,pubmed
109,AI and Internet of Things for Chronic Obstructive Pulmonary Disease Remote Monitoring: Systematic Review of Exacerbation Prediction and Key Physiological Variables.,Martina Montenegro; Jasper Gielen; Chunzhuo Wang; Bart Vanrumste; David Ruttens; Ruben Knevels; Jean-Marie Aerts,JMIR medical informatics,"Chronic obstructive pulmonary disease (COPD) is a leading cause of morbidity and mortality worldwide, with frequent exacerbations of COPD (ECOPD) significantly impacting patient health and health care systems. Predicting ECOPD early would increase patients' quality of life and decrease the economic burden. The advancement of wearable technologies and Internet of Things (IoT) sensors has enabled continuous remote monitoring (RM), offering new opportunities for early ECOPD prediction. However, effectively leveraging wearable data requires robust artificial intelligence (AI) frameworks capable of processing heterogeneous physiological and environmental information. This systematic review aims to provide a comprehensive overview of both hardware and software solutions for predicting ECOPD using RM. From the reviewed literature, we first focus on key physiological and environmental variables essential for COPD monitoring that can be extracted from wearables and IoT sensors. Second, we describe the wearable and IoT devices currently deployed in COPD management. Finally, we review machine learning, including deep learning models, used for ECOPD prediction, discussing limitations for real-world implementation. By bridging AI-driven data processing with real-world sensor applications, this review aims to outline the current landscape, existing challenges, and future directions for developing effective RM solutions for ECOPD predictions. A comprehensive search was conducted following the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines to identify studies using AI or machine learning techniques for predicting ECOPD in in-home contexts. This review identified 26 studies that met the inclusion criteria. Twenty studies aimed at predicting or detecting exacerbations at the onset. The variables tracked most frequently were heart rate (n=9), peripheral oxygen saturation (n=9), and symptoms (n=8). Daily or weekly sampling was most common (n=14). Most studies (n=13) applied machine learning models-primarily random forest (n=5), CatBoost (n=2), decision trees (n=2), and support vector machines (n=2). Deep learning was used in 3 papers, while the remaining applied rule-based logics and probabilistic models. Wearables and IoT were used in only 6 out of 20 studies. Six papers analyzed changes in vital parameters during prodromal phases, defined as the period shortly before the onset of an exacerbation. Three studies collected data continuously, 2 daily, and 1 compared once-daily versus overnight monitoring; 4 of these 6 used wearable devices. Overall, current evidence highlights the potential of continuous monitoring of physiological and environmental variables for early ECOPD prediction, offering advantages over questionnaires or once-daily measurements. While wearables and IoT devices show promise, their use remains limited. Many studies rely on balanced datasets that do not mirror real-world exacerbation patterns and lack external validation across diverse populations. Future research should emphasize large-scale validation, integration of multimodal data, and translation of AI models into clinically feasible tools to enable timely intervention and improve COPD management.",2026,10.2196/52143,https://pubmed.ncbi.nlm.nih.gov/42090610/,pubmed
110,"A modular framework for mission-critical services in fog-based remote healthcare systems: identification, categorization, and evaluation.",Reza Sookhtsaraei; Mehdi Sakhaei-Nia; Fereshteh-Azadi Parand,Scientific reports,"​This paper addresses the challenges of integrating remote healthcare systems that rely on hybrid computing models—such as cloud computing, fog computing, and the Internet of Things (IoT)—to ensure real-time monitoring and reliable data communication. The authors propose a modular, flexible, and dependable system model for mission-critical remote healthcare services, focusing on five key components: Input/output (I/O) services, Artificial intelligence (AI) services, data services, security and privacy services, and context-aware services. Each component supports real-time responsiveness and interoperability, minimizing potential disruptions. A case study on trauma patient care demonstrates the model’s practical application within a hybrid computing framework. The evaluation, based on a simulation setup, shows that the hybrid model reduces latency, underlining the importance of distributed architectures for timely and reliable emergency care. The paper also reviews existing literature, highlighting the model’s versatility and its potential to enhance the delivery of remote healthcare services across various domains, thereby improving overall care quality and system efficiency.",2026,10.1016/j.jss.2022.111351,https://pubmed.ncbi.nlm.nih.gov/42056220/,pubmed
111,TrCN-HDC: Enhancing patient security with graphical authentication and cloud-assisted cardiac monitoring.,Geetha S; Vigenesh M; Santhosh R,Computer methods and programs in biomedicine,"Heart disease (HD) remains the leading cause of mortality worldwide, emphasizing the need for early detection and accurate diagnosis to improve patient outcomes. The integration of Internet of Things (IoT) technology in healthcare has enabled real-time data collection through smart wearable devices, facilitating continuous monitoring and early identification of HD. However, the low survival rates of sudden heart attacks highlight the necessity for a secure and intelligent patient monitoring system. To address this, we propose TrCN-HDC, a Transformer with Capsule Network-based framework designed for IoT-assisted heart disease diagnosis and prediction. The framework ensures patient security and privacy by implementing biometric authentication with the SHA-512 algorithm, securing access to medical data. Patient information is collected through wearable sensors and undergoes pre-processing, including missing value replacement, data normalization, and noise reduction, to enhance data quality. TrCN-HDC framework processes the refined data through Ascended Extensive ResNet (AE-ResNet) for deep feature extraction, followed by Hummingbird Optimization Algorithm (HBOA) for feature selection. The selected features are further refined using the Lightweight Wave Transformer (LW2T) for improved representation before final heart disease classification using Capsule Network (CapNet). The model's performance is evaluated using accuracy, disease prevalence (DP), positive predictive value (PPV), negative predictive value (NPV), sensitivity, specificity, F1-score, and ROC curve analysis. Conclusions- Experimental results demonstrate that TrCN-HDC outperforms existing models, providing a highly accurate, secure, and efficient heart disease detection system in modern smart healthcare environments.",2026,10.1016/j.cmpb.2026.109367,https://pubmed.ncbi.nlm.nih.gov/42048915/,pubmed
112,Gerontechnology Acceptance in Thai Older Adult Care Facilities-Sensor Network and Machine Learning Adoption: Mixed Methods Study.,Metta Ongkasuwan; Uree Cheasakul; Akechai Judkrue; Pair Sajampun,JMIR formative research,"Thailand is undergoing a rapid demographic transition, with an estimated 28% of the population expected to be aged 60 years or older by 2030. This shift creates an urgent demand for technology-enhanced solutions for older adults. Despite growing interest in Internet of Things (IoT) sensor networks and machine learning applications for older adult care, the patterns of technology acceptance and implementation readiness in Thai older adult care facilities remain underexplored. This study aimed to assess the readiness and adoption patterns of sensor network and machine learning technologies among older adults and care stakeholders in Thai older adult care facilities, guided by the Gerontechnology Acceptance Model (GTAM) and Service Exchange Value Creation Logic. A sequential explanatory mixed methods design was used. Phase 1 (quantitative) involved structured technology assessments by 12 health care technology specialists and survey administration to 120 consumer representatives (older adults, n=70; adult family members, n=50), stratified across Bangkok and Chiang Mai. Phase 2 (qualitative) comprised 20 semistructured interviews and 3 purposively selected focus groups from phase 1 participants to elaborate on the quantitative findings. The primary theoretical framework was GTAM, mapping 5 constructs (perceived usefulness, ease of use, social influence, facilitating conditions, and behavioral intention) to corresponding survey items. This study was approved by the Assumption University Institutional Review Board (AU-IRB 80/2024) and is registered under a noninterventional observational design; formal clinical trial registration was not applicable. IoT fall detection systems received the highest clinical efficacy ratings from specialists (mean 4.5, SD 0.3 on a 5-point scale) and achieved 89% user acceptance. Artificial intelligence-driven early warning systems demonstrated the highest perceived clinical impact (mean 4.7, SD 0.2) but also the greatest implementation complexity (mean 4.2, SD 0.5). The consumer survey findings revealed that digital literacy level was the strongest predictor of behavioral adoption intention (β=.62; P<.001), with high-confidence participants showing 2.3 times higher acceptance rates than low-confidence participants. Significant geographic differences emerged: Bangkok respondents showed higher acceptance of medical IoT technologies (mean 4.3, SD 0.3; t119=1.98; P=.05), while Chiang Mai respondents reported a stronger preference for environmental digital health solutions (mean 4.5, SD 0.3; t119=4.12; P<.001) and elevated privacy concerns (mean 4.2, SD 0.4; P=.005). Qualitative analysis identified 5 themes: surveillance anxiety, family-mediated adoption, regional digital trust, training needs, and dignity-preserving technology design. Smart technology integration in Thai older adult care facilities is feasible and accepted across demographic groups when implemented in phases, culturally adapted, and supported by digital literacy training. Key adoption enablers were digital confidence, family involvement, and privacy-respecting design. The GTAM-derived findings offer an evidence-based framework for deploying gerontechnology in health care contexts in developing nations. Longitudinal outcome studies are needed to validate clinical and economic projections from prior literature.",2026,10.1080/14719037.2014.881539,https://pubmed.ncbi.nlm.nih.gov/42612072/,pubmed
113,Finite State Machine-Guided Retrieval-Augmented Generation Improves Expert-Rated Acceptability of a Peripherally Inserted Central Catheter Self-Management Chatbot: Single-Center Content Validation Study.,Mangyeong Lee; Seung-Beom Cho; Jae-Wook Yu; Junghee Yoon; Jae-Boong Choi; Kyu-Hwan Jung; Juhee Cho,Journal of medical Internet research,"Patients with cancer undergoing long-term or vesicant chemotherapy frequently require peripherally inserted central catheters (PICCs). Due to the nature of ambulatory treatment administration, self-PICC management is essential for the continuation and completion of the planned treatment. Large language models offer potential for continuous patient support, but hallucinations and insufficient adherence to clinical protocols remain concerns. Fine-tuning (FT) and retrieval-augmented generation (RAG) improve factual grounding but cannot enforce the structured decision logic of expert-led PICC consultations, leaving the value of dialogue-control mechanisms unclear. This study is an expert-panel evaluation designed to exploratorily verify whether a finite state machine (FSM)-guided RAG architecture yields incremental gains in clinical acceptability when added on top of FT and RAG compared with simpler architectures (fine-tuned model alone; fine-tuned model with RAG). We conducted a blinded ablation comparison of three chatbot architectures sharing an identical fine-tuned GPT-4o-mini base: model 1 (fine-tuning only; FT), model 2 (FT + RAG), and model 3 (FT + RAG + FSM). Three nurses specializing in PICC management (≥10 y experience) independently evaluated responses to 43 PICC-related queries. The two-stage evaluation comprised query-level forced-choice preference and global Likert ratings across 8 predefined dimensions. Interrater agreement was quantified with Gwet AC1. Preference rates were compared with Cochran Q and pairwise McNemar tests with Bonferroni correction. Global Likert ratings were summarized descriptively across 8 predefined dimensions. The FSM-guided model (model 3) was preferred in 34 of 43 scenarios (79.1%). Interrater agreement was moderate (Gwet AC1=0.58, 95% CI 0.42-0.75; P<.001). Differences in model preference were significant (Cochran Q=48.2; P<.001). Pairwise McNemar tests showed model 3 was preferred significantly more often than model 1 and model 2 (both P<.001), while model 1 versus model 2 did not differ after Bonferroni correction. For the global ratings, descriptive statistics indicated that model 3 received higher ratings than models 1 and 2 across most criteria, although it tended to receive lower ratings for efficiency, possibly reflecting its multiturn structure. In qualitative debriefing, the nurses noted occasional unnecessary conversational turns under FSM guidance. In this expert-panel content-validation study, the FSM-guided fine-tuned RAG model received higher expert-rated acceptability than the simpler architectures, with FSM-based dialogue control more closely aligning chatbot outputs with expert-led PICC consultation patterns. Patient-facing usability testing and multicenter validation are required before claims regarding patient safety or clinical deployment can be made.",2026,10.2196/54263,https://pubmed.ncbi.nlm.nih.gov/42579604/,pubmed
114,LLM-Mediated Smart Tele-Primary Care for Rural Older Adults: A Caregiver-Centered and Scenario-Assessed Framework for Respiratory Infection Monitoring.,Angel Dario Pinto-Mangones; Yair E Rivera-Julio; Carolina Castellanos-Ramos; Nelson Alexander Pérez-García; Jagger Rivera-Julio; Juan M Torres-Tovio,"Sensors (Basel, Switzerland)","The COVID-19 pandemic accelerated the use of telemedicine and revealed persistent barriers in rural primary healthcare, especially among older adults and caregivers. This study proposes an LLM-mediated smart tele-primary-care framework to support respiratory infection monitoring in underserved communities of Córdoba, Colombia. The framework is based on caregiver-centered teleconsultation, remote monitoring, preventive education, structured symptom reporting, risk-based teletriage, and clinician-supervised digital support. The LLM functions as a controlled conversational interface to collect symptoms, organize patient information, reinforce health education, generate follow-up reminders, and identify predefined warning signs, without replacing clinical judgment or making autonomous diagnostic or treatment decisions. A preliminary scenario-based assessment examined whether the proposed workflow supports coherent triage and appropriate escalation of high-risk cases. Importantly, the described architecture-a telematic system for intelligent-engine access in assisted medicine support (ATIMAMS)-has been implemented and is currently operational at the Systems Engineering Program, Universidad del Sinú (Montería, Colombia), providing intelligent decision support for telemedicine consultations and remote assistance appointments in the study region. Overall, the study presents a context-sensitive, low-barrier, and safety-aware model for strengthening rural primary care, improving continuity of care, and supporting caregiver-mediated respiratory infection monitoring.",2026,10.1136/bmj-2023-078378,https://pubmed.ncbi.nlm.nih.gov/42515492/,pubmed
115,Mapping Machine Learning-Driven Cybersecurity Solutions in Health Care: Scoping Literature Review.,Kunal Rajput; Sharukh Zuberi; Mireille Elhajj; Washington Ochieng; Ara Darzi; Saira Ghafur,Journal of medical Internet research,"Health care systems face escalating cyberattacks, including the UK Synnovis ransomware attack, which halted pathology services for 14 weeks; the Ascension Health breach affecting 5.6 million patients; and the Change Healthcare breach costing US $2.5 billion. Conventional cybersecurity measures in health care remain reactive and inadequate against evolving threats. Machine learning (ML) offers adaptive, predictive, real-time cyber defense; yet, there is limited clarity on how ML tools are applied across cybersecurity domains, their real-world effectiveness, and where gaps remain. This study aims to map ML applications in health care cybersecurity against the National Institute of Standards and Technology Cybersecurity Framework version 2.0, summarize ML performance, and identify research gaps and implementation considerations. A systematic search of Ovid MEDLINE, Embase, and Scopus was conducted on July 30, 2025, for studies between 2019 and 2025. Eligible studies applied ML-based approaches to organizational-level cybersecurity in health care settings, with outcomes related to data privacy or cybersecurity strengthening. Studies on smart devices, blockchain, or those lacking empirical data were excluded. Title and abstract and full-text screening were conducted independently by 2 (KR and SZ) reviewers following the Arksey and O'Malley framework and PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping Reviews) guidelines, with discrepancies resolved by consensus. Data were synthesized narratively and mapped against the 6 National Institute of Standards and Technology Cybersecurity Framework version 2.0 functions (Identify, Protect, Detect, Respond, Recover, and Govern). From 10,348 articles identified, 45 studies across 18 countries were included, applying 80 ML models. Most studies addressed ""Protect"" (n=22, 48.9%), encompassing federated learning, homomorphic encryption, and deidentification pipelines. ""Detect"" (n=13, 28.9%) covered intrusion detection and anomaly-based threat detection. ""Identify"" (n=8, 17.8%) addressed risk assessment and vulnerability prediction. Only 2 studies addressed ""Respond,"" and none addressed ""Recover"" or ""Govern."" Classical ML, deep learning, and natural language processing predominated, with intrusion detection being the most common application (n=29). Despite strong controlled performance, only one study demonstrated real-world deployment; most rely on synthetic or outdated benchmark datasets and inconsistent reporting metrics. To our knowledge, this is the first scoping review to map ML-driven cybersecurity solutions against all six National Institute of Standards and Technology Cybersecurity Framework version 2.0 functions, offering a structured, policy-relevant evidence base. ML applications remain concentrated in preincident functions, with gaps in response, recovery, and governance. This highlights systematic blind spots and priorities for researchers and implementers. The evidence supports a phased implementation approach: beginning with detection systems, where evidence is most established and integration is most feasible, progressing to privacy-preserving architectures, for which the literature currently offers no guidance. Implementation requires sustained investment in infrastructure, representative datasets, explainable AI, and real-world validation. Limitations include language bias, methodological heterogeneity, and exclusion of medical devices and proprietary solutions.",2026,10.1109/TNNLS.2021.3121870,https://pubmed.ncbi.nlm.nih.gov/42507996/,pubmed
116,A Community-in-the-Loop Approach to Smart Home Monitoring for Aging in Place: Mixed Methods Evaluation of a Co-Designed Prototype.,Roschelle L Fritz; Connie Kim Yen Nguyen-Truong; Jennifer Phipps; Ellen E Hinderlie; Yolanda Lb Rodriguez; Thai Hien Nguyen; Gabrielle Barling; Anna Mishuk; Heather Schoonover; Christi Zuber; Marilyn Rantz,JMIR aging,"The population of adults aged 65 and older is rapidly increasing, while the availability of caregivers is declining. Smart homes that provide unobtrusive, continuous monitoring and alerting on clinically relevant changes in daily activity patterns offer a potentially innovative solution for aging in place. This study aims to evaluate the barriers and facilitators to the adoption of a low-cost smart home embedded within a community-based approach to health monitoring for older adults with multiple chronic conditions and who are experiencing poverty. Using a prospective, mixed methods design and iterative community co-design, 46 older adults from 7 different language groups were continuously monitored for 6 months with ambient sensors installed in their homes. Two older adults were monitored for 4 and 5 months, respectively, resulting in a total sample of 48. The system generated alerts based on movement pattern changes and escalated notifications to participants, support persons, community health workers, and nurses. Sensor data were analyzed descriptively to quantify alert patterns and response rates, while written text-based data from in-the-moment surveys, community health workers' and registered nurses' notes, and semistructured interviews underwent qualitative descriptive analysis and reflexive thematic coding. The system generated 37 million sensor readings condensed into 1.2 million high-level events and 4719 novel alerts. Qualitative data comprised 34,086 words of text. Participants responded to 1.57% (74) of the initial email alerts and 7.79% (368) of the follow-up SMS text message alerts sent when no email response was received. Community health workers and registered nurses responded to 78.36% (n=3698) of the escalated alerts, resulting in 1060 contacts with participants in response to alerts. Clinical contacts resulted in 72 interventions. Three major qualitative themes emerged: (1) Alone, (2) Trust, and (3) Human Connection. Subthemes included Safety, Personalization, and Digital Distress defined as stress associated with interacting with digital health-monitoring systems. Participants rated the system highly (mean likelihood-to-recommend rating 8.68/10, SD 1.68); however, they expressed a strong preference for phone calls over automated alerts. Cultural expectations influenced adoption, particularly in multigenerational households. Communities can effectively engage in technology-delivered health care. Future research is needed to improve technical aspects of smart home monitoring systems, including accurate alerting using machine learning, data visualizations for older adults and health care workers, and culturally sensitive features. Additional work should address how and when to communicate automated messaging, engage older adults with their own data, and integrate sensor-based monitoring into health care workflows. Research should also explore personalization through advanced computational approaches such as machine learning and strategies to reduce digital distress.",2026,10.2196/72716,https://pubmed.ncbi.nlm.nih.gov/42492087/,pubmed
117,Advances and Challenges in Wearable Sensors for Health Monitoring.,Laís Canniatti Brazaca; Alvaro Moreno Lozano; Beatriz Mayol; Desiree Tamara Scheidt; Domenico De Fazio; Enji Kim; Gabriel Maroli; Giulio Rosati; Hatice Ceren Ates; Hui Wang; Hye Jin Kim; Ji-Hwan Ha; Jin Yang; Jisoo Jeon; Jörg Goldhahn; Keval K Sonigara; La Li; Mingyu Zhou; Seokjoo Cho; Shicheng Fan; Shuang Wu; Vanessa Matos Gonçalves; Vitor H B Dei Santi; Weixin Zhou; Wenzheng Heng; Won Gi Chung; Xinming Li; Yang Zou; Yunxia Jin; Zixuan Wu; Amay J Bandodkar; Arben Merkoçi; Can Dincer; Chwee Teck Lim; Dae-Hyeong Kim; Emanuel Carrilho; Giovanni Antonio Salvatore; Guozhen Shen; Inkyu Park; Itthipon Jeerapan; Jang-Ung Park; Jin Wu; John S Ho; John Rogers; Joseph Wang; Kevin W Plaxco; Maria Cristina Ferreira de Oliveira; Martin Pumera; Noé Brasier; Omid Veiseh; Pooi See Lee; Vladimir V Tsukruk; Wei Gao; Yong Zhu; Zhong Lin Wang; Zhou Li; Juliane Sempionatto; Osvaldo N Oliveira,ACS applied materials & interfaces,"Analytical tools may revolutionize healthcare by enabling accessible, rapid, and decentralized testing. Wearable (bio)sensors, in particular, provide frequent or continuous patient monitoring through non- to minimally invasive measurements. This approach yields unprecedented amounts of health-related information, leading to more informed clinical decision-making and closer patient follow-up. In this mega-review article, we bring together leading researchers in the field to discuss the state of the art in wearable devices for health monitoring. We begin by providing a broad overview of the field through citation network analysis. We then review the application of chemical (bio)sensors in biofluids (e.g., sweat, saliva, tears, interstitial fluid, and cerebrospinal fluid), highlighting the challenges and advantages associated with each. Subsequently, we discuss the construction of wearable devices and their main formats (e.g., smart contact lenses, textiles, mouthguards, watches/wristbands, and implantable systems). Physical sensors are addressed in a dedicated section focusing on the assessment of heart rate, blood pressure, and body temperature. The role of soft electronics in wearable devices is also examined, as these technologies are essential for enhancing user comfort and sensor reliability, which demands advances in materials science. Furthermore, we present strategies for signal acquisition and transmission, as well as approaches for on-body energy harvesting and device self-powering. The use of artificial intelligence and machine learning is then discussed as a means of enhancing analytical performance and managing the large volumes of data generated by wearable devices. Finally, business, regulatory, and ethical considerations are examined. We expect that this review will provide an overview of sensing and biosensing technologies for health-related applications, identify promising research directions, and inspire future developments.",2026,10.1016/j.landig.2025.01.002,https://pubmed.ncbi.nlm.nih.gov/42460879/,pubmed
118,Light-adaptive Janus smart bandages empowered by deep learning for precise wound monitoring.,Linfei Luan; Youquan Wang; Liang Guan; Lirong Wang; Hongzhang Deng,Biosensors & bioelectronics,"The escalating healthcare impact of chronic wounds has prioritized the development of smart dressings for precise diagnosis and treatment. While wearable colorimetric sensors offer convenient diagnostics, their clinical accuracy is severely bottlenecked by ambient light interference. In this work, we report a bioinspired Janus smart bandage with light-adaptive deep learning for precise wound monitoring and accelerated healing. The smart bandage utilizes its Janus substrate to drive unidirectional exudate drainage, maintaining a dry wound bed while continuously delivering fresh analytes to multiplexed colorimetric sensors. We also integrate an LSTM-based deep learning model that autonomously calibrates colorimetric signals under varying color temperatures, eliminating illumination-induced inaccuracies and enabling high-fidelity quantification of wound pH, temperature, and glucose concentration with >96% accuracy. In vivo results demonstrate that this smart bandage not only ensures precise wound monitoring but also significantly accelerates wound closure. The integration of a bioinspired Janus structure with the adaptive deep learning model offers a compelling strategy for smart dressings, potentially advancing high-precision therapeutics in digital healthcare.",2026,10.1016/j.bios.2026.119003,https://pubmed.ncbi.nlm.nih.gov/42425001/,pubmed
119,Emerging trends in amino acid detection: wearable devices and machine learning-assisted signal processing.,Hui Xu; Lican He; Yu Wei; Yanqin Chen; Jian Shu,Analytical methods : advancing methods and applications,"As critical metabolic biomarkers, amino acids exert essential physiological functions, and their abnormal levels are closely associated with a range of diseases such as cancer, neurodegenerative disorders, and cardiovascular conditions. In recent years, amino acid analysis technologies have achieved remarkable advancements in the field of personalized healthcare. This review navigates the latest progress in amino acid analysis, with a focus on two prominent emerging trends. The first trend encompasses the development of flexible and wearable sensing devices for non-invasive, continuous amino acid monitoring in diverse biofluids, such as blood, sweat, and interstitial fluid. Particular attention is given to their design principles, operational mechanisms, practical applications, and key performance metrics. The second trend involves the application of machine learning (ML) for processing and interpreting complex response signals. Specifically, this review discusses how various ML approaches, including classical chemometric linear regression models, deep learning models, support vector machines (SVMs), ensemble learning, and tree-based models, address common challenges in complex environments, such as signal interference and nonlinear drift. Furthermore, this review outlines the current challenges and proposes future research directions, aiming to advance amino acid analysis toward more intelligent, integrated, and personalized health monitoring systems.",2026,10.1039/d6ay00596a,https://pubmed.ncbi.nlm.nih.gov/42396893/,pubmed
120,Artificial intelligence for child health: current capabilities and the next frontier.,Paul Dimitri,Archives of disease in childhood,"Artificial intelligence (AI) is reshaping paediatric healthcare, offering new capabilities across diagnosis, monitoring and treatment personalisation. Modern AI systems integrate multimodal data, including imaging, genomics, electronic health records, wearable sensors, environmental exposures and patient-reported outcomes, to generate insights tailored to children's developmental, physiological and psychosocial needs. Advances in machine learning, deep learning, natural language processing, computer vision and generative models are enabling earlier detection of rare diseases, dynamic risk stratification and personalised care pathways. Emerging technologies such as digital twins simulate individual disease trajectories and treatment responses, reducing reliance on traditional trial designs and supporting anticipatory, precision care.The next frontier of AI in healthcare includes adaptive decision support powered by reinforcement learning and advanced time-series modelling, allowing systems to respond to real-time physiological changes and support complex sequential decisions in areas such as ventilation, insulin dosing, deterioration prediction and medication titration. Parallel progress in remote monitoring and smart sensors is shifting care from hospitals to homes, supporting long-term condition management and reducing avoidable admissions. Causal AI offers further potential by uncovering true cause-and-effect relationships, enabling clinicians to understand why interventions work and explore counterfactual 'what-if' scenarios. Looking further ahead, quantum AI, neuromorphic computing and privacy-preserving federated learning may unlock new computational capabilities, enabling ultra-fast analysis, on-device learning and the secure use of distributed paediatric datasets. Realising this future requires rigorous governance, paediatric-specific validation, safeguards for privacy and autonomy and equitable digital access. When developed responsibly, AI has the potential to augment clinical expertise, reduce health inequalities and transform child health outcomes.",2026,10.1136/archdischild-2026-330388,https://pubmed.ncbi.nlm.nih.gov/42386397/,pubmed
121,Deep learning-enabled self-powered bimodal flexible sensor for intelligent access control.,Jiamin Chen; Xiaochen Wang; Nan Wang; Yiming Ma,Nanotechnology,"In the era of digital transformation characterized by the deep integration of artificial intelligence and the internet of things, human-machine interaction systems have become ubiquitous in smart architecture and urban security. As the primary security interface, intelligent access control systems face unprecedented challenges. Traditional biometric technologies, such as facial recognition and fingerprint scanning, not only rely heavily on external power sources but also encounter critical limitations regarding privacy risks and environmental sensitivity. To address these issues, this study develops a self-powered bimodal sensor based on a single-electrode triboelectric nanogenerator, providing a low-power, high-security, and multidimensional sensing solution. The core of the sensor lies in its sophisticated functional structural design, featuring a polydimethylsiloxane triboelectric layer patterned with a micro-pyramid array, integrated with a copper foil electrode and a polyethylene terephthalate substrate. The device leverages the coupled effects of contact electrification and electrostatic induction to convert mechanical stimuli into characteristic electrical signals rich in material electronegativity and human kinetic information. To extract latent features from these complex waveforms, a deep learning framework based on a convolutional neural network is implemented to analyze and decouple the signals. Experimental results demonstrate that the system exhibits superior recognition performance in complex environments: in single-dimensional tasks, the accuracies for material identification and user authentication reach 99.83% and 98.88%, respectively. Even under a challenging scenario, the system maintains a high recognition accuracy of 96.15%. This work provides a robust technological foundation for future smart security, flexible electronic skins, and personalized healthcare monitoring.",2026,10.1088/1361-6528/ae83c1,https://pubmed.ncbi.nlm.nih.gov/42372767/,pubmed
